CMV(-2),CMV(-2),CMV(-3),CMV(-3),CMV(-4),CMV(-4),CMV(-5),CMV(-5),CMV(-),CMV(-)
3974.368421,218.3684211,238.2105263,583.2631579,763.5789474,11.31578947,76.52631579,171.6315789,214.8947368,414.5789474
5581.368421,385.3684211,413.2105263,939.2631579,963.5789474,174.3157895,344.5263158,142.6315789,397.8947368,534.5789474
7330.368421,833.3684211,748.2105263,1470.263158,1219.578947,304.3157895,442.5263158,362.6315789,184.8947368,287.5789474
9062.368421,749.3684211,992.2105263,2636.263158,1405.578947,138.3157895,520.5263158,311.6315789,307.8947368,210.5789474
12220.36842,1357.368421,1966.210526,3921.263158,2553.578947,367.3157895,1076.526316,698.6315789,516.8947368,827.5789474
12906.36842,1516.368421,3012.210526,4913.263158,2388.578947,253.3157895,1456.526316,540.6315789,336.8947368,468.5789474
14887.36842,2235.368421,4514.210526,6436.263158,3393.578947,383.3157895,2347.526316,986.6315789,433.8947368,656.5789474
17748.36842,3545.368421,6422.210526,8199.263158,5461.578947,781.3157895,3411.526316,1687.631579,616.8947368,868.5789474
18950.36842,4652.368421,8222.210526,9560.263158,6208.578947,874.3157895,4274.526316,2159.631579,398.8947368,473.5789474
20170.36842,6200.368421,10489.21053,11057.26316,7278.578947,1118.315789,5487.526316,3352.631579,238.8947368,589.5789474
22319.36842,7900.368421,12651.21053,12563.26316,8764.578947,1936.315789,6703.526316,4534.631579,444.8947368,732.5789474
23266.36842,9800.368421,15208.21053,13995.26316,9917.578947,2554.315789,7977.526316,5982.631579,518.8947368,711.5789474
24483.36842,11585.36842,17618.21053,15474.26316,11091.57895,3546.315789,9221.526316,7443.631579,530.8947368,1025.578947
25978.36842,13443.36842,19663.21053,16615.26316,12287.57895,4423.315789,10392.52632,8848.631579,792.8947368,1030.578947
27386.36842,15285.36842,21710.21053,17744.26316,13364.57895,5413.315789,11473.52632,10123.63158,678.8947368,1071.578947
28750.36842,17159.36842,23828.21053,18949.26316,14370.57895,6374.315789,12445.52632,11488.63158,820.8947368,1115.578947
29981.36842,18899.36842,25467.21053,20003.26316,15580.57895,7088.315789,13416.52632,12799.63158,824.8947368,1133.578947
31158.36842,20724.36842,27645.21053,21068.26316,16221.57895,8270.315789,14618.52632,13965.63158,796.8947368,1235.578947
32264.36842,22704.36842,29231.21053,21806.26316,17498.57895,9095.315789,15332.52632,15129.63158,748.8947368,944.5789474
33341.36842,24209.36842,30900.21053,22899.26316,18374.57895,10022.31579,16315.52632,16259.63158,913.8947368,1227.578947
34813.36842,25882.36842,32164.21053,23756.26316,19212.57895,10885.31579,17146.52632,17247.63158,998.8947368,1343.578947
35634.36842,27591.36842,34067.21053,24488.26316,19996.57895,11551.31579,17954.52632,18309.63158,888.8947368,1247.578947
36796.36842,28734.36842,35521.21053,25150.26316,20651.57895,12318.31579,18749.52632,19344.63158,1102.894737,1434.578947
37906.36842,30414.36842,36704.21053,25882.26316,21486.57895,13122.31579,19408.52632,20181.63158,937.8947368,1389.578947
38674.36842,31576.36842,38196.21053,26654.26316,22199.57895,14002.31579,20127.52632,20864.63158,927.8947368,1448.578947
39581.36842,33255.36842,39397.21053,27335.26316,22931.57895,14829.31579,20868.52632,21861.63158,994.8947368,1489.578947
40337.36842,34895.36842,40715.21053,27868.26316,23547.57895,15400.31579,21320.52632,22517.63158,978.8947368,1358.578947
40848.36842,35979.36842,41755.21053,28543.26316,24054.57895,16106.31579,21964.52632,23246.63158,1140.894737,1458.578947
41635.36842,37422.36842,42819.21053,28969.26316,24640.57895,16689.31579,22430.52632,24100.63158,888.8947368,1348.578947
42303.36842,38580.36842,43919.21053,29496.26316,25236.57895,17163.31579,23015.52632,24662.63158,1173.894737,1387.578947
42729.36842,39340.36842,44995.21053,30026.26316,25628.57895,17774.31579,23588.52632,25348.63158,1232.894737,1730.578947
43305.36842,40744.36842,45943.21053,30457.26316,26298.57895,18263.31579,24119.52632,25895.63158,1248.894737,1578.578947
44030.36842,41483.36842,46926.21053,30858.26316,26654.57895,18899.31579,24550.52632,26447.63158,1369.894737,1765.578947
44433.36842,42440.36842,47764.21053,31339.26316,27162.57895,19276.31579,25025.52632,27014.63158,1444.894737,1691.578947
44817.36842,43604.36842,48547.21053,31698.26316,27424.57895,19630.31579,25398.52632,27520.63158,1464.894737,1784.578947
44998.36842,44484.36842,49429.21053,32174.26316,27884.57895,20193.31579,25827.52632,28064.63158,1559.894737,1903.578947
45371.36842,45796.36842,50146.21053,32383.26316,28344.57895,20696.31579,26097.52632,28606.63158,1406.894737,1731.578947
46041.36842,46339.36842,50687.21053,32685.26316,28751.57895,20972.31579,26400.52632,28988.63158,1511.894737,1810.578947
46320.36842,46576.36842,51609.21053,33081.26316,29001.57895,21503.31579,26896.52632,29361.63158,1834.894737,2176.578947
46634.36842,47389.36842,52116.21053,33355.26316,29382.57895,21873.31579,27129.52632,29626.63158,1900.894737,2157.578947
46918.36842,48628.36842,52801.21053,33498.26316,29610.57895,22131.31579,27227.52632,30038.63158,1739.894737,1989.578947
47720.36842,49498.36842,52941.21053,33686.26316,30077.57895,22084.31579,27532.52632,30387.63158,1756.894737,2015.578947
47521.36842,50188.36842,53949.21053,33978.26316,30106.57895,22687.31579,27818.52632,30662.63158,1858.894737,1975.578947
47822.36842,50852.36842,54582.21053,34227.26316,30398.57895,22932.31579,28133.52632,30998.63158,1859.894737,2036.578947
47939.36842,51885.36842,54864.21053,34376.26316,30802.57895,23242.31579,28250.52632,31355.63158,1678.894737,1883.578947
48178.36842,52105.36842,55588.21053,34586.26316,30994.57895,23587.31579,28484.52632,31551.63158,1845.894737,1996.578947
48475.36842,52370.36842,55669.21053,34799.26316,31130.57895,23804.31579,28821.52632,31884.63158,1959.894737,2129.578947
