CMV(-2),CMV(-2),CMV(-3),CMV(-3),CMV(-4),CMV(-4),CMV(-5),CMV(-5),CMV(-),CMV(-)
9876.526316,15347.21053,5912.684211,8302.684211,3717.263158,1045.526316,533.1578947,721.5789474,319.4210526,737.0526316
11530.52632,16617.21053,7032.684211,9379.684211,4937.263158,1373.526316,593.1578947,834.5789474,215.4210526,606.0526316
13192.52632,17516.21053,8465.684211,10264.68421,5817.263158,1950.526316,788.1578947,1299.578947,358.4210526,839.0526316
14255.52632,18322.21053,9859.684211,11326.68421,6880.263158,2507.526316,1158.157895,1883.578947,463.4210526,945.0526316
15446.52632,19495.21053,11246.68421,12105.68421,8132.263158,3196.526316,1336.157895,2600.578947,572.4210526,811.0526316
16653.52632,20572.21053,12588.68421,12937.68421,9465.263158,3802.526316,1873.157895,3422.578947,391.4210526,884.0526316
18058.52632,21655.21053,13730.68421,13815.68421,10851.26316,4438.526316,2308.157895,4160.578947,405.4210526,721.0526316
19633.52632,22471.21053,15068.68421,14623.68421,12254.26316,5255.526316,2942.157895,5162.578947,457.4210526,949.0526316
20921.52632,23520.21053,16527.68421,15642.68421,13457.26316,6041.526316,3763.157895,6162.578947,849.4210526,1105.052632
21692.52632,24211.21053,17840.68421,16341.68421,14690.26316,6872.526316,4552.157895,7177.578947,706.4210526,1063.052632
22729.52632,25385.21053,18997.68421,17117.68421,16057.26316,7277.526316,5181.157895,8022.578947,648.4210526,1023.052632
23352.52632,26037.21053,20130.68421,17784.68421,17061.26316,8053.526316,5995.157895,8828.578947,671.4210526,1111.052632
24935.52632,26981.21053,21316.68421,18511.68421,17674.26316,8608.526316,6713.157895,9871.578947,792.4210526,1198.052632
25666.52632,27833.21053,22293.68421,19122.68421,19242.26316,9150.526316,7478.157895,10759.57895,618.4210526,918.0526316
26983.52632,28092.21053,23312.68421,19780.68421,20249.26316,9957.526316,8099.157895,11365.57895,667.4210526,1242.052632
27545.52632,29268.21053,24473.68421,20361.68421,21339.26316,10526.52632,8855.157895,12303.57895,802.4210526,1248.052632
28292.52632,30035.21053,25392.68421,20814.68421,22061.26316,11082.52632,9597.157895,12906.57895,611.4210526,1152.052632
29339.52632,30887.21053,26389.68421,21492.68421,22629.26316,11578.52632,10192.15789,13763.57895,728.4210526,1121.052632
29893.52632,31337.21053,27432.68421,22065.68421,23643.26316,12171.52632,10706.15789,14317.57895,868.4210526,1205.052632
31285.52632,32219.21053,28125.68421,22461.68421,24086.26316,12383.52632,11368.15789,14971.57895,758.4210526,1142.052632
31675.52632,32703.21053,29048.68421,23021.68421,24800.26316,13010.52632,11863.15789,15671.57895,763.4210526,1262.052632
33266.52632,33112.21053,29669.68421,23584.68421,26496.26316,13458.52632,12621.15789,16312.57895,873.4210526,1383.052632
33177.52632,33721.21053,30748.68421,24049.68421,26976.26316,14062.52632,13324.15789,16931.57895,991.4210526,1375.052632
33762.52632,34248.21053,31596.68421,24484.68421,26942.26316,14325.52632,13825.15789,17529.57895,1024.421053,1413.052632
34310.52632,34442.21053,32499.68421,24832.68421,27416.26316,14831.52632,14230.15789,18184.57895,1130.421053,1561.052632
35131.52632,34857.21053,33242.68421,25318.68421,28746.26316,15182.52632,14824.15789,18641.57895,1124.421053,1714.052632
35606.52632,35497.21053,34005.68421,25594.68421,29469.26316,15715.52632,15279.15789,19246.57895,1001.421053,1660.052632
36062.52632,36224.21053,34450.68421,25934.68421,30073.26316,15872.52632,15543.15789,19769.57895,869.4210526,1353.052632
36323.52632,36294.21053,35282.68421,26379.68421,30444.26316,16471.52632,16091.15789,20084.57895,971.4210526,1581.052632
36612.52632,37483.21053,35982.68421,26728.68421,30452.26316,16720.52632,16601.15789,20611.57895,914.4210526,1460.052632
37262.52632,37944.21053,36693.68421,26974.68421,30784.26316,17142.52632,16932.15789,21172.57895,746.4210526,1476.052632
37730.52632,38051.21053,37451.68421,27463.68421,31852.26316,17574.52632,17401.15789,21721.57895,1007.421053,1670.052632
38022.52632,38221.21053,38239.68421,27828.68421,31892.26316,17995.52632,18066.15789,22056.57895,1169.421053,1866.052632
38519.52632,38438.21053,38786.68421,28086.68421,32941.26316,18316.52632,18630.15789,22587.57895,1321.421053,1819.052632
38800.52632,39215.21053,39413.68421,28396.68421,33633.26316,18624.52632,19014.15789,22864.57895,1232.421053,1764.052632
39136.52632,39417.21053,39883.68421,28503.68421,33286.26316,18877.52632,19344.15789,23250.57895,1167.421053,1786.052632
39779.52632,39747.21053,40307.68421,28736.68421,34639.26316,19148.52632,19755.15789,23724.57895,1095.421053,1754.052632
39844.52632,39917.21053,40933.68421,28712.68421,34922.26316,19483.52632,19948.15789,23987.57895,1243.421053,1967.052632
39893.52632,40602.21053,41508.68421,28902.68421,34204.26316,19821.52632,20407.15789,24171.57895,1230.421053,1872.052632
40385.52632,40347.21053,42042.68421,28960.68421,35569.26316,20059.52632,20747.15789,24623.57895,1322.421053,2093.052632
40674.52632,40726.21053,42688.68421,28870.68421,35217.26316,20258.52632,21041.15789,24929.57895,1480.421053,2162.052632
40999.52632,41127.21053,43048.68421,28867.68421,36246.26316,20471.52632,21332.15789,25292.57895,1406.421053,2052.052632
41094.52632,41138.21053,43579.68421,29065.68421,36270.26316,20713.52632,21661.15789,25605.57895,1471.421053,2150.052632
41203.52632,41775.21053,44032.68421,29105.68421,36624.26316,20972.52632,21898.15789,25765.57895,1501.421053,2207.052632
41760.52632,41616.21053,44468.68421,29123.68421,36913.26316,21260.52632,22191.15789,25844.57895,1537.421053,2230.052632
42297.52632,41918.21053,44754.68421,29168.68421,36430.26316,21445.52632,22306.15789,26187.57895,1381.421053,2046.052632
42631.52632,42081.21053,44898.68421,29243.68421,36849.26316,21574.52632,22664.15789,26387.57895,1434.421053,2051.052632
