line1,line2,line3,line4,line5,line6
-0.24482569,-8.71035146,-2.9808486,-1.93281421,-2.12269566,3.2173517
0.00287234,0.49880647,0.16030833,0.28522026,0.14751283,0.5
19.6011955,31.8363813,57.3709589,40.9551337,69.0402376,40.9144667
0.0837139,1.08835428,0.78387054,0.37187545,0.46132977,1.09843306
78.4140438,44.7006854,44.7999058,45.2611003,32.0352993,19.6172608
-0.05063201,0.08471646,0.18322469,0.3071126,0.10866711,-0.98825405
94.5364044,42.4980988,50.0415808,47.1427924,41.5533902,6.94804521
