blue,green,newblue,newgreen,cmvdata,cmvdata_2
196.4210526,8933.105263,1350.263158,4062.421053,22319.36842,4171.526316
247.4210526,9892.105263,2123.263158,5843.421053,23266.36842,5511.526316
343.4210526,11667.10526,3145.263158,8022.421053,24483.36842,7153.526316
482.4210526,12790.10526,4543.263158,10284.42105,25978.36842,8453.526316
464.4210526,14290.10526,6461.263158,12790.42105,27386.36842,9876.526316
490.4210526,15637.10526,8784.263158,14875.42105,28750.36842,11530.52632
538.4210526,16897.10526,11166.26316,17559.42105,29981.36842,13192.52632
689.4210526,17718.10526,13749.26316,19481.42105,31158.36842,14255.52632
731.4210526,19153.10526,16493.26316,21788.42105,32264.36842,15446.52632
791.4210526,20171.10526,19051.26316,23818.42105,33341.36842,16653.52632
873.4210526,20664.10526,21305.26316,25346.42105,34813.36842,18058.52632
971.4210526,21570.10526,23341.26316,27110.42105,35634.36842,19633.52632
1214.421053,23390.10526,25122.26316,28427.42105,36796.36842,20921.52632
1342.421053,24454.10526,26637.26316,29968.42105,37906.36842,21692.52632
1315.421053,25328.10526,28195.26316,31072.42105,38674.36842,22729.52632
1482.421053,26122.10526,29976.26316,32520.42105,39581.36842,23352.52632
1678.421053,26907.10526,31560.26316,33399.42105,40337.36842,24935.52632
1720.421053,27761.10526,32186.26316,34292.42105,40848.36842,25666.52632
1754.421053,28354.10526,33160.26316,35304.42105,41635.36842,26983.52632
1714.421053,28981.10526,34729.26316,35686.42105,42303.36842,27545.52632
1977.421053,29267.10526,35633.26316,36413.42105,42729.36842,28292.52632
2064.421053,30142.10526,36321.26316,36973.42105,43305.36842,29339.52632
2029.421053,30738.10526,37017.26316,38045.42105,44030.36842,29893.52632
2286.421053,31972.10526,37540.26316,38458.42105,44433.36842,31285.52632
2505.421053,32004.10526,38582.26316,38504.42105,44817.36842,31675.52632
2427.421053,32974.10526,38725.26316,38941.42105,44998.36842,33266.52632
2637.421053,33865.10526,39375.26316,39191.42105,45371.36842,33177.52632
2889.421053,34296.10526,39544.26316,39557.42105,46041.36842,33762.52632
2871.421053,34411.10526,40299.26316,40018.42105,46320.36842,34310.52632
3086.421053,35139.10526,40574.26316,40216.42105,46634.36842,35131.52632
3195.421053,36382.10526,40872.26316,40203.42105,46918.36842,35606.52632
3288.421053,36959.10526,40909.26316,40334.42105,47720.36842,36062.52632
3347.421053,37277.10526,40870.26316,40862.42105,47521.36842,36323.52632
3475.421053,37795.10526,41254.26316,40592.42105,47822.36842,36612.52632
3559.421053,38335.10526,41321.26316,40608.42105,47939.36842,37262.52632
3832.421053,38215.10526,40848.26316,41053.42105,48178.36842,37730.52632
3917.421053,39020.10526,41244.26316,41395.42105,48475.36842,38022.52632
4103.421053,39157.10526,42240.26316,41301.42105,48624.36842,38519.52632
4051.421053,39883.10526,42553.26316,41007.42105,48729.36842,38800.52632
4182.421053,40108.10526,42429.26316,41709.42105,49012.36842,39136.52632
4500.421053,40736.10526,42569.26316,41464.42105,49403.36842,39779.52632
4439.421053,40579.10526,42843.26316,41520.42105,49272.36842,39844.52632
4560.421053,40770.10526,43184.26316,41852.42105,49572.36842,39893.52632
4620.421053,40610.10526,43414.26316,41640.42105,49566.36842,40385.52632
4616.421053,41253.10526,43274.26316,41873.42105,49760.36842,40674.52632
4854.421053,42170.10526,43947.26316,42071.42105,49870.36842,40999.52632
4829.421053,42602.10526,43802.26316,41984.42105,50957.36842,41094.52632
5289.421053,42342.10526,43269.26316,41902.42105,50871.36842,41203.52632
5250.421053,42681.10526,43672.26316,42443.42105,50197.36842,41760.52632
5295.421053,43085.10526,44094.26316,42229.42105,50345.36842,42297.52632
5330.421053,42826.10526,44296.26316,42305.42105,50865.36842,42631.52632
