line1,line2,line3,line4,line5,line6
-0.23895898,-1.0289929,-1.50695121,-0.51551635,-2.28208917,-2.3899814
0.01071521,0.05049727,0.08185777,0.02011573,0.15977292,0.10510947
9.73641053,68.1856728,63.2130144,65.0288241,68.1299155,60.6997699
0.27388108,0.07219446,0.13995231,0.14318434,0.11037121,0.09413835
45.1580825,50.9984814,48.8155598,46.3940813,41.5431387,52.2538082
0.07572713,0.33000075,0.47455242,0.43911474,0.47611269,0.38267713
72.3149832,39.0803597,45.1585497,41.7643956,32.053193,41.7862916
