data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
-55.89473684,-176.7894737,26.52631579,-48.26315789,-157.2105263,-11.68421053,64.68421053,-25.21052632,60.42105263,-34.10526316
-212.8947368,-94.78947368,234.5263158,147.7368421,-207.2105263,197.3157895,68.68421053,-43.21052632,253.4210526,240.8947368
-18.89473684,20.21052632,125.5263158,84.73684211,19.78947368,-102.6842105,109.6842105,-38.21052632,39.42105263,222.8947368
36.10526316,-56.78947368,273.5263158,135.7368421,64.78947368,38.31578947,100.6842105,-11.21052632,167.4210526,160.8947368
159.1052632,132.2105263,93.52631579,133.7368421,124.7894737,86.31578947,109.6842105,146.7894737,91.42105263,297.8947368
6.105263158,326.2105263,146.5263158,117.7368421,53.78947368,36.31578947,-43.31578947,-21.21052632,204.4210526,-73.10526316
-241.8947368,215.2105263,-25.47368421,108.7368421,51.78947368,91.31578947,113.6842105,48.78947368,51.42105263,115.8947368
-37.89473684,169.2105263,95.52631579,139.7368421,127.7894737,9.315789474,156.6842105,186.7894737,299.4210526,93.89473684
-85.89473684,262.2105263,157.5263158,192.7368421,-53.21052632,34.31578947,96.68421053,50.78947368,0.421052632,215.8947368
41.10526316,423.2105263,155.5263158,148.7368421,180.7894737,-143.6842105,52.68421053,61.78947368,32.42105263,139.8947368
284.1052632,581.2105263,257.5263158,98.73684211,289.7894737,-70.68421053,27.68421053,110.7894737,-160.5789474,-23.10526316
289.1052632,917.2105263,466.5263158,179.7368421,114.7894737,53.31578947,97.68421053,88.78947368,-185.5789474,214.8947368
616.1052632,848.2105263,288.5263158,50.73684211,219.7894737,92.31578947,113.6842105,-43.21052632,9.421052632,13.89473684
568.1052632,1119.210526,332.5263158,183.7368421,210.7894737,-3.684210526,265.6842105,168.7894737,118.4210526,235.8947368
723.1052632,1473.210526,365.5263158,398.7368421,123.7894737,155.3157895,223.6842105,159.7894737,122.4210526,319.8947368
1144.105263,1890.210526,292.5263158,350.7368421,210.7894737,66.31578947,151.6842105,112.7894737,43.42105263,295.8947368
2255.105263,2543.210526,202.5263158,552.7368421,466.7894737,281.3157895,144.6842105,154.7894737,163.4210526,398.8947368
2649.105263,3417.210526,295.5263158,740.7368421,360.7894737,208.3157895,159.6842105,137.7894737,64.42105263,213.8947368
3362.105263,4241.210526,370.5263158,988.7368421,184.7894737,169.3157895,169.6842105,254.7894737,256.4210526,309.8947368
4272.105263,5277.210526,600.5263158,1481.736842,154.7894737,200.3157895,141.6842105,85.78947368,279.4210526,385.8947368
5504.105263,6152.210526,837.5263158,2017.736842,66.78947368,176.3157895,304.6842105,207.7894737,263.4210526,328.8947368
6831.105263,7362.210526,1098.526316,2634.736842,209.7894737,211.3157895,216.6842105,291.7894737,428.4210526,453.8947368
8933.105263,8489.210526,999.5263158,3281.736842,668.7894737,414.3157895,293.6842105,203.7894737,402.4210526,245.8947368
9892.105263,9144.210526,1159.526316,3690.736842,488.7894737,358.3157895,248.6842105,254.7894737,55.42105263,259.8947368
11667.10526,10386.21053,1529.526316,4671.736842,686.7894737,359.3157895,427.6842105,268.7894737,246.4210526,324.8947368
12790.10526,11852.21053,1919.526316,5545.736842,834.7894737,373.3157895,355.6842105,384.7894737,214.4210526,351.8947368
14290.10526,12914.21053,2227.526316,6121.736842,1133.789474,431.3157895,378.6842105,411.7894737,211.4210526,431.8947368
15637.10526,13665.21053,3046.526316,6863.736842,1290.789474,403.3157895,472.6842105,431.7894737,241.4210526,295.8947368
16897.10526,14567.21053,3713.526316,7701.736842,1380.789474,545.3157895,510.6842105,527.7894737,544.4210526,566.8947368
17718.10526,15318.21053,4418.526316,8274.736842,1407.789474,631.3157895,633.6842105,504.7894737,599.4210526,496.8947368
19153.10526,16572.21053,5156.526316,8937.736842,1644.789474,592.3157895,599.6842105,540.7894737,432.4210526,453.8947368
20171.10526,17522.21053,5851.526316,9560.736842,2030.789474,651.3157895,648.6842105,609.7894737,575.4210526,455.8947368
20664.10526,18231.21053,6831.526316,10182.73684,1791.789474,989.3157895,685.6842105,647.7894737,468.4210526,619.8947368
21570.10526,19421.21053,7655.526316,10693.73684,2211.789474,1067.315789,695.6842105,692.7894737,538.4210526,575.8947368
23390.10526,20186.21053,8253.526316,11498.73684,2914.789474,1009.315789,759.6842105,862.7894737,433.4210526,696.8947368
24454.10526,21226.21053,8883.526316,11769.73684,3232.789474,1222.315789,890.6842105,804.7894737,336.4210526,405.8947368
25328.10526,21714.21053,9674.526316,12475.73684,3424.789474,1466.315789,950.6842105,801.7894737,492.4210526,798.8947368
26122.10526,22275.21053,10602.52632,12829.73684,3768.789474,1521.315789,1079.684211,1000.789474,649.4210526,815.8947368
26907.10526,22780.21053,11299.52632,13420.73684,4186.789474,1774.315789,1107.684211,975.7894737,652.4210526,686.8947368
27761.10526,23823.21053,11761.52632,13959.73684,4404.789474,1815.315789,1105.684211,932.7894737,476.4210526,487.8947368
28354.10526,24562.21053,12529.52632,14296.73684,4611.789474,1875.315789,1203.684211,962.7894737,569.4210526,491.8947368
28981.10526,25005.21053,13429.52632,15087.73684,4881.789474,2162.315789,1414.684211,1016.789474,841.4210526,691.8947368
29267.10526,25724.21053,14190.52632,15313.73684,5028.789474,2411.315789,1472.684211,900.7894737,736.4210526,871.8947368
30142.10526,26479.21053,14972.52632,15690.73684,5502.789474,2647.315789,1492.684211,1094.789474,669.4210526,750.8947368
30738.10526,26765.21053,15710.52632,16104.73684,5746.789474,2710.315789,1585.684211,1148.789474,890.4210526,887.8947368
31972.10526,27513.21053,16363.52632,16582.73684,6410.789474,2890.315789,1645.684211,1211.789474,729.4210526,839.8947368
32004.10526,28108.21053,17332.52632,16987.73684,6574.789474,2957.315789,1788.684211,1219.789474,791.4210526,750.8947368
32974.10526,29061.21053,17728.52632,17268.73684,7131.789474,3389.315789,1938.684211,1362.789474,700.4210526,544.8947368
33865.10526,29025.21053,18350.52632,17684.73684,7675.789474,3396.315789,2020.684211,1355.789474,655.4210526,866.8947368
34296.10526,29850.21053,18870.52632,17914.73684,8071.789474,3505.315789,2197.684211,1521.789474,676.4210526,589.8947368
34411.10526,29976.21053,19921.52632,18493.73684,8269.789474,3928.315789,2474.684211,1672.789474,1013.421053,1066.894737
35139.10526,30605.21053,20251.52632,18819.73684,8786.789474,4075.315789,2440.684211,1543.789474,856.4210526,1004.894737
36382.10526,31287.21053,20696.52632,19051.73684,9641.789474,4319.315789,2497.684211,1636.789474,646.4210526,586.8947368
36959.10526,31788.21053,21276.52632,19494.73684,10123.78947,4667.315789,2843.684211,1734.789474,857.4210526,944.8947368
37277.10526,31998.21053,21953.52632,19781.73684,10519.78947,4849.315789,2851.684211,1901.789474,837.4210526,840.8947368
37795.10526,32690.21053,22351.52632,19990.73684,10935.78947,5075.315789,3039.684211,1934.789474,756.4210526,536.8947368
38335.10526,32846.21053,23176.52632,20437.73684,11686.78947,5434.315789,3300.684211,2156.789474,1142.421053,990.8947368
38215.10526,32801.21053,24089.52632,20655.73684,11523.78947,5471.315789,3663.684211,2273.789474,1058.421053,1244.894737
39020.10526,34226.21053,23963.52632,20848.73684,12357.78947,5514.315789,3588.684211,2391.789474,665.4210526,401.8947368
39157.10526,33808.21053,25066.52632,21193.73684,12943.78947,6155.315789,3957.684211,2511.789474,1097.421053,1048.894737
39883.10526,34618.21053,25296.52632,21620.73684,13499.78947,6392.315789,4323.684211,2563.789474,1234.421053,1173.894737
40108.10526,34705.21053,26226.52632,21725.73684,13852.78947,6480.315789,4451.684211,2771.789474,1029.421053,972.8947368
40736.10526,35027.21053,26428.52632,21929.73684,14509.78947,6819.315789,4663.684211,2870.789474,1097.421053,834.8947368
40579.10526,35471.21053,27256.52632,22289.73684,14778.78947,7362.315789,5045.684211,3002.789474,1113.421053,1137.894737
40770.10526,35324.21053,28165.52632,22684.73684,14906.78947,7545.315789,5339.684211,3255.789474,1636.421053,1422.894737
40610.10526,35848.21053,28800.52632,22764.73684,15317.78947,7786.315789,5662.684211,3413.789474,1463.421053,1195.894737
41253.10526,36571.21053,29173.52632,23075.73684,15898.78947,7939.315789,5769.684211,3497.789474,1263.421053,1013.894737
42170.10526,37175.21053,29491.52632,23389.73684,16887.78947,8281.315789,6172.684211,3714.789474,1252.421053,1082.894737
42602.10526,37466.21053,30005.52632,23425.73684,17296.78947,8648.315789,6393.684211,3929.789474,1107.421053,802.8947368
42342.10526,37504.21053,30736.52632,23690.73684,17475.78947,8918.315789,6812.684211,4294.789474,1463.421053,1235.894737
42681.10526,37855.21053,31221.52632,23879.73684,17979.78947,9371.315789,7121.684211,4594.789474,1567.421053,1273.894737
43085.10526,37938.21053,31622.52632,24176.73684,18562.78947,9375.315789,7402.684211,4584.789474,1533.421053,1170.894737
42826.10526,38120.21053,32122.52632,24325.73684,18752.78947,9736.315789,7713.684211,4837.789474,1463.421053,1245.894737
